Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Abbeville 80100; 3 260
Ablon-sur-Seine 94480;  520
Achères 78260; 2 540
Achicourt 62217;  800
Acigné 35690;  530
Agde 34300; 6 060
Agen 47000; 5 640
Aiffres 79230;  400
Aigues-Mortes 30220; 1 170
Aimargues 30470;  680
Aire-sur-l'Adour 40800;  690
Aire-sur-la-Lys 62120; 1 020
Aix-en-Provence 13090; 15 020
Aixe-sur-Vienne 87700;  470
Aix-les-Bains 73100; 3 440
Aizenay 85190;  780
Ajaccio 20000; 5 310
Albert 80300; 1 180
Albertville 73200; 2 000
Albi 81000; 6 190
Alençon 61000; 3 810
Alès 30100; 7 010
Alfortville 94140; 5 670
Algrange 57440;  640
Allauch 13190; 1 520
Allonnes 72700; 1 470
Altkirch 68130;  570
Ambarès-et-Lagrave 33440; 2 140
Ambazac 87240;  440
Ambérieu-en-Bugey 01500; 1 940
Ambert 63600;  630
Ambilly 74100;  990
Amboise 37400; 1 610
Amiens 80000; 19 190
Amilly 45200; 1 370
Amnéville 57360; 1 090
Amplepuis 69550;  440
Ancenis 44150; 1 130
Andernos-les-Bains 33510; 1 040
Andrésy 78570;  960
Andrézieux-Bouthéon 42160; 1 140
Angers 49000; 20 980
Anglet 64600; 4 630
Angoulême 16000; 7 620
Aniche 59580; 1 670
Annecy 74000; 12 360
Annemasse 74100; 6 130
Annezin 62232;  600
Annoeullin 59112;  890
Annonay 07100; 2 340
Anse 69480;  670
Anse-Bertrand 97121;  790
Antibes 06600; 9 040
Antony 92160; 4 900
Anzin 59410; 2 330
Apatou 97317;  680
Apt 84400; 1 610
Arcachon 33120; 1 090
Arcueil 94110; 2 590
Arès 33740;  600
Argelès-sur-Mer 66700; 2 120
Argentan 61200; 1 770
